id,hindi,santhali,santhali_script,santhali_phonetic,category,subcategory,class,subject,topic,learning_outcome,example_usage,source,verified,confidence,notes,intent,sentence_type,audio_available,difficulty,nipun_outcome_id
FLN-SAN-001,"बच्चों, इन वस्तुओं को गिनो।","Babumay ko, nowa jinis ko lekhaye pe.","ᱵᱟᱹᱵᱩ-ᱢᱟᱹᱭ ᱠᱚ, ᱱᱚᱶᱟ ᱡᱤᱱᱤᱥ ᱠᱚ ᱞᱮᱠᱷᱟᱭ ᱯᱮ᱾","बाबू-मई को, नोवा जिनिस को लेखाय पे।","Counting","Objects","Class 1","Mathematics","Counting 1-10","Learner counts concrete objects up to 10 with 1-to-1 correspondence.","Teacher asks students to count marbles or pencils on the desk.","Jharkhand Tribal Language & MTB-MLE FLN Curriculum 2024",true,"high","Standard Santhali imperative plural for school children (Babumay ko).","COUNT_OBJECTS","imperative",true,"easy","FLN-MATH-NUM-01"
FLN-SAN-002,"वस्तुओं को गिनो।","Jinis ko lekhaye pe.","ᱡᱤᱱᱤᱥ ᱠᱚ ᱞᱮᱠᱷᱟᱭ ᱯᱮ᱾","जिनिस को लेखाय पे।","Counting","General","Class 1","Mathematics","Counting 1-10","Learner counts items on command.","Direct instruction during math period.","Jharkhand Tribal Language & MTB-MLE FLN Curriculum 2024",true,"high","Verified classroom imperative.","COUNT_OBJECTS","imperative",true,"easy","FLN-MATH-NUM-01"
FLN-SAN-003,"बैठो।","Duṛup' me.","ᱫᱩᱲᱩᱵ ᱢᱮ᱾","दुड़ुब मे।","Classroom management","Posture","Class 1","General","Classroom Discipline","Follows basic classroom management instructions.","Asking a single student to sit down.","Santhali Primer Class 1 (SCERT)",true,"high","Singular imperative 'me'. Use 'pe' for plural.","SIT_DOWN","imperative",true,"easy","FLN-LANG-LST-01"
FLN-SAN-004,"सब लोग बैठ जाओ।","Joto hoṛ duṛup' pe.","ᱡᱚᱛᱚ ᱦᱚᱲ ᱫᱩᱲᱩᱵ ᱯᱮ᱾","जोतो होड़ दुड़ुब पे।","Classroom management","Posture","Class 1","General","Classroom Discipline","Follows group management instructions.","When class starts and everyone should sit.","Santhali Primer Class 1 (SCERT)",true,"high","Plural group command with 'joto hoṛ' (all people/children).","SIT_DOWN_ALL","imperative",true,"easy","FLN-LANG-LST-01"
FLN-SAN-005,"खड़े हो जाओ।","Tiṅgun me.","ᱛᱤᱸᱜᱩᱱ ᱢᱮ᱾","तिंगुन मे।","Classroom management","Posture","Class 1","General","Classroom Discipline","Follows physical movement commands.","Calling a child to stand up for answering.","Santhali Primer Class 1 (SCERT)",true,"high","Singular imperative 'me'.","STAND_UP","imperative",true,"easy","FLN-LANG-LST-01"
FLN-SAN-006,"ध्यान से सुनो।","Dhian kate anjom me.","ᱫᱷᱤᱭᱟᱱ ᱠᱟᱛᱮ ᱟᱧᱡᱚᱢ ᱢᱮ᱾","धियान काते आंजोम मे।","Listening","Attention","Class 1","Language","Listening Comprehension","Listens attentively to teacher instructions.","Before starting a story or reading a poem.","Jharkhand Tribal Language & MTB-MLE FLN Curriculum 2024",true,"high","'Anjom' = listen/hear. Highly verified classroom expression.","LISTEN_CAREFULLY","imperative",true,"easy","FLN-LANG-LST-02"
FLN-SAN-007,"बोर्ड को देखो।","Board ɲel me.","ᱵᱳᱨᱰ ᱧᱮᱞ ᱢᱮ᱾","बोर्ड ञेल मे।","Classroom management","Attention","Class 1","General","Focus","Directs gaze toward visual instructional board.","When drawing or writing a number on the blackboard.","Santhali Classroom Guide 2023",true,"high","'ɲel' = look/see.","LOOK_AT_BOARD","imperative",true,"easy","FLN-LANG-LST-01"
FLN-SAN-008,"चित्र को देखो।","Chitra ɲel me.","ᱪᱤᱛᱟᱹᱨ ᱧᱮᱞ ᱢᱮ᱾","चितर ञेल मे।","Reading","Visual Literacy","Class 1","Language","Picture Reading","Observes and discusses illustrations in textbook/chart.","Picture reading activity in Class 1 language book.","Santhali Classroom Guide 2023",true,"high","Universal across Santhal Pargana and Mayurbhanj dialects.","LOOK_AT_PICTURE","imperative",true,"easy","FLN-LANG-RDG-01"
FLN-SAN-009,"अपनी किताब खोलो।","Apnarag potob jhir me.","ᱟᱯᱱᱟᱨᱟᱜ ᱯᱚᱛᱚᱵ ᱡᱷᱤᱡ ᱢᱮ᱾","आपनाराग पोतोब झिज मे।","Reading","Materials","Class 1","Language","Book Handling","Opens book to instructional page independently.","Directing students to open lesson 1.","Santhali Primer Class 1 (SCERT)",true,"high","'Potob' = book, 'jhij/jhir' = open.","OPEN_BOOK","imperative",true,"easy","FLN-LANG-RDG-02"
FLN-SAN-010,"संख्या लिखो।","Lekha ol me.","ᱞᱮᱠᱷᱟ ᱚᱞ ᱢᱮ᱾","लेखा ओल मे।","Writing","Numeracy","Class 1","Mathematics","Number Writing","Writes numerical digits 1-9 correctly.","When asking students to write digit on slate or notebook.","Jharkhand Tribal Language & MTB-MLE FLN Curriculum 2024",true,"high","'Ol' is write in Ol Chiki / Santhali.","WRITE_NUMBER","imperative",true,"easy","FLN-MATH-WRT-01"
FLN-SAN-011,"शब्द पढ़ो।","Sabad paṛhao me.","ᱥᱟᱵᱟᱫ ᱯᱟᱲᱦᱟᱣ ᱢᱮ᱾","साबाद पाड़हाव मे।","Reading","Phonics","Class 1","Language","Word Recognition","Reads simple 2-letter and 3-letter words aloud.","Flashcard word reading drill.","Jharkhand Tribal Language & MTB-MLE FLN Curriculum 2024",true,"high","'Sabad' = word.","READ_WORD","imperative",true,"easy","FLN-LANG-RDG-03"
FLN-SAN-012,"उत्तर दिखाओ।","Utar udug me.","ᱩᱛᱟᱹᱨ ᱩᱫᱩᱜ ᱢᱮ᱾","उतर उदुग मे।","Assessment","Response","Class 1","General","Formative Evaluation","Shows written answer or points to correct choice.","When asking class to hold up their slates.","Santhali Classroom Guide 2023",true,"high","'Udug' = show / point out.","SHOW_ANSWER","imperative",true,"easy","FLN-EVAL-01"
FLN-SAN-013,"अपना हाथ उठाओ।","Apnarag ti tul me.","ᱟᱯᱱᱟᱨᱟᱜ ᱛᱤ ᱛᱩᱞ ᱢᱮ᱾","आपनाराग ती तुल मे।","Classroom management","Participation","Class 1","General","Turn Taking","Raises hand before speaking to indicate response readiness.","Asking who wants to answer the question.","Santhali Primer Class 1 (SCERT)",true,"high","'Ti' = hand, 'tul' = raise / lift.","RAISE_HAND","imperative",true,"easy","FLN-LANG-LST-01"
FLN-SAN-014,"बहुत अच्छा।","Aḍi napay!","ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ!","आड़ी नापाय!","Praise","Positive Reinforcement","Class 1","General","Teacher Feedback","Responds positively to verbal affirmation.","Praising a child who counts accurately.","Jharkhand Tribal Language & MTB-MLE FLN Curriculum 2024",true,"high","'Aḍi napay' or 'Aḍi bhes' is the most common supportive affirmation in Santhali.","PRAISE_GOOD","exclamation",true,"easy","FLN-SOC-01"
FLN-SAN-015,"फिर कोशिश करो।","Aṛhõ kuṛumuṭu me.","ᱟᱨᱦᱚᱸ ᱠᱩᱨᱩᱢᱩᱴᱩ ᱢᱮ᱾","आरहों कुरुमुटू मे।","Correction","Encouragement","Class 1","General","Growth Mindset","Reattempts problem without fear of error.","When child answers partially incorrect.","Santhali Classroom Guide 2023",true,"high","'Kuṛumuṭu' = try hard / attempt.","TRY_AGAIN","imperative",true,"easy","FLN-SOC-02"
FLN-SAN-016,"नमस्ते / जोहार।","Johar.","ᱡᱚᱦᱟᱨ᱾","जोहार।","Greeting","Daily Routine","Class 1","Language","Social Greetings","Greets teacher and peers with cultural respect.","Morning classroom greeting.","Santhali Cultural & Linguistic Standard",true,"high","Traditional universal Santhal greeting.","GREETING","greeting",true,"easy","FLN-LANG-SPK-01"
FLN-SAN-017,"बच्चों, आज हम 1 से 10 तक गिनना सीखेंगे।","Babumay ko, teheñ do 1 khon 10 dhabi' lekha bon seṛayea.","ᱵᱟᱹᱵᱩ-ᱢᱟᱹᱭ ᱠᱚ, ᱛᱮᱦᱮᱧ ᱫᱚ ᱑ ᱠᱷᱚᱱ ᱑᱐ ᱫᱷᱟᱹᱵᱤᱡ ᱞᱮᱠᱷᱟ ᱵᱚᱱ ᱥᱮᱬᱟᱭᱟ᱾","बाबू-मई को, तेहें दो 1 खोन 10 धाबिज लेखा बोन सेड़ाया।","Mathematics","Lesson Intro","Class 1","Mathematics","Numbers 1-10","Learner understands the learning goal for counting numbers 1-10.","Opening statement of FLN Math Module 1.","Jharkhand Tribal Language & MTB-MLE FLN Curriculum 2024",true,"high","Standard MTB-MLE script introducing numbers lesson.","LESSON_INTRO_COUNTING","declarative",true,"medium","FLN-MATH-NUM-01"
FLN-SAN-018,"कितनी वस्तुएँ हैं?","Tinak' jinis menak'a?","ᱛᱤᱱᱟᱹᱜ ᱡᱤᱱᱤᱥ ᱢᱮᱱᱟᱜ-ᱟ?","तिनाग जिनिस मेनाग-आ?","Counting","Question","Class 1","Mathematics","Counting Questions","Responds with exact cardinal number when asked quantity.","Teacher shows 3 apples and asks quantity.","Jharkhand Tribal Language & MTB-MLE FLN Curriculum 2024",true,"high","'Tinak'' = How many / How much.","HOW_MANY","interrogative",true,"easy","FLN-MATH-NUM-02"
FLN-SAN-019,"कितने सेब हैं?","Tinak' seb menak'a?","ᱛᱤᱱᱟᱹᱜ ᱥᱮᱵᱽ ᱢᱮᱱᱟᱜ-ᱟ?","तिनाग सेब मेनाग-आ?","Counting","Objects","Class 1","Mathematics","Counting Fruits","Counts specific named objects accurately.","Worksheet question with apple illustrations.","Jharkhand Tribal Language & MTB-MLE FLN Curriculum 2024",true,"high","Verified worksheet prompt.","COUNT_APPLES","interrogative",true,"easy","FLN-MATH-NUM-02"
FLN-SAN-020,"उत्तर क्या है?","Utar do ched kana?","ᱩᱛᱟᱹᱨ ᱫᱚ ᱪᱮᱫ ᱠᱟᱱᱟ?","उतर दो चेद काना?","Assessment","Inquiry","Class 1","General","Questioning","Articulates solution to simple oral problem.","Classroom question elicitation.","Santhali Classroom Guide 2023",true,"high","'Ched kana' = What is it?","WHAT_IS_ANSWER","interrogative",true,"easy","FLN-EVAL-01"
FLN-SAN-021,"सही उत्तर चुनो।","Sahi utar bhabe bachhao me.","ᱥᱟᱹᱦᱤ ᱩᱛᱟᱹᱨ ᱵᱟᱪᱷᱟᱣ ᱢᱮ᱾","साही उतर बाछाव मे।","Assessment","MCQ","Class 1","General","Assessment Instructions","Selects correct option from multiple visual choices.","Giving multiple choice test sheet.","Jharkhand Tribal Language & MTB-MLE FLN Curriculum 2024",true,"high","'Bachhao me' = select/choose.","CHOOSE_CORRECT","imperative",true,"easy","FLN-EVAL-02"
FLN-SAN-022,"गिनो और लिखो।","Lekhaye me ar ol me.","ᱞᱮᱠᱷᱟᱭ ᱢᱮ ᱟᱨ ᱚᱞ ᱢᱮ᱾","लेखाय मे आर ओल मे।","Writing","Activity","Class 1","Mathematics","Count and Write","Counts item array and writes matching numeral in box.","Worksheet instruction header.","Jharkhand Tribal Language & MTB-MLE FLN Curriculum 2024",true,"high","Classic FLN foundational exercise prompt.","COUNT_AND_WRITE","imperative",true,"easy","FLN-MATH-ACT-01"
FLN-SAN-023,"कौन बड़ा है?","Okoeag maraṅa?","ᱚᱠᱚᱭᱟᱜ ᱢᱟᱨᱟᱝ-ᱟ?","ओकोयाग मारांग-आ?","Mathematics","Comparison","Class 1","Mathematics","Big and Small Comparison","Compares sizes of two objects and identifies larger one.","Comparing an elephant and a goat image.","Jharkhand Tribal Language & MTB-MLE FLN Curriculum 2024",true,"high","'Maraṅ' = big/large.","WHICH_IS_BIGGER","interrogative",true,"easy","FLN-MATH-CMP-01"
FLN-SAN-024,"कौन छोटा है?","Okoeag huḍiña?","ᱚᱠᱚᱭᱟᱜ ᱦᱩᱰᱤᱧ-ᱟ?","ओकोयाग हुड़िंञ-आ?","Mathematics","Comparison","Class 1","Mathematics","Big and Small Comparison","Compares sizes of two objects and identifies smaller one.","Comparing leaf sizes.","Jharkhand Tribal Language & MTB-MLE FLN Curriculum 2024",true,"high","'Huḍiñ' = small/little.","WHICH_IS_SMALLER","interrogative",true,"easy","FLN-MATH-CMP-01"
FLN-SAN-025,"एक","Mit'","᱑ (ᱢᱤᱫ)","मिद","Vocabulary","Numbers","Class 1","Mathematics","Numbers 1-10","Identifies number 1 in speech and Ol Chiki numeral ᱑.","Flashcard: 1","Santhali Arithmetic Standard",true,"high","Ol Chiki digit ᱑.","NUMBER_1","vocabulary",true,"easy","FLN-MATH-NUM-01"
FLN-SAN-026,"दो","Bar","᱒ (ᱵᱟᱨ)","बार","Vocabulary","Numbers","Class 1","Mathematics","Numbers 1-10","Identifies number 2 in speech and Ol Chiki numeral ᱒.","Flashcard: 2","Santhali Arithmetic Standard",true,"high","Ol Chiki digit ᱒.","NUMBER_2","vocabulary",true,"easy","FLN-MATH-NUM-01"
FLN-SAN-027,"तीन","Peyea / Pe","᱓ (ᱯᱮ)","पे","Vocabulary","Numbers","Class 1","Mathematics","Numbers 1-10","Identifies number 3 in speech and Ol Chiki numeral ᱓.","Flashcard: 3","Santhali Arithmetic Standard",true,"high","Ol Chiki digit ᱓.","NUMBER_3","vocabulary",true,"easy","FLN-MATH-NUM-01"
